CharacterName,Bond,Stat1,Value1,Stat2,Value2
Aru,4,Attack,12,HP,0
Aru,5,Attack,16,HP,0
Aru,6,Attack,22,HP,0
Aru,7,Attack,28,HP,0
Aru,8,Attack,34,HP,0
Aru,9,Attack,40,HP,0
Aru,10,Attack,46,HP,0
Aru,11,Attack,53,HP,48
Aru,12,Attack,60,HP,96
Aru,13,Attack,67,HP,144
Aru,14,Attack,74,HP,192
Aru,15,Attack,81,HP,240
Aru,16,Attack,90,HP,298
Aru,17,Attack,99,HP,356
Aru,18,Attack,108,HP,414
Aru,19,Attack,117,HP,472
Aru,20,Attack,126,HP,530
Aru,21,Attack,128,HP,540
Aru,22,Attack,130,HP,550
Aru,23,Attack,132,HP,560
Aru,24,Attack,134,HP,570
Aru,25,Attack,136,HP,580
Aru,26,Attack,138,HP,590
Aru,27,Attack,140,HP,600
Aru,28,Attack,142,HP,610
Aru,29,Attack,144,HP,620
Aru,30,Attack,146,HP,630
Aru,31,Attack,150,HP,645
Aru,32,Attack,154,HP,660
Aru,33,Attack,158,HP,675
Aru,34,Attack,162,HP,690
Aru,35,Attack,166,HP,705
Aru,36,Attack,170,HP,720
Aru,37,Attack,174,HP,735
Aru,38,Attack,178,HP,750
Aru,39,Attack,182,HP,765
Aru,40,Attack,186,HP,780
Aru,41,Attack,192,HP,805
Aru,42,Attack,198,HP,830
Aru,43,Attack,204,HP,855
Aru,44,Attack,210,HP,880
Aru,45,Attack,216,HP,905
Aru,46,Attack,222,HP,930
Aru,47,Attack,228,HP,955
Aru,48,Attack,234,HP,980
Aru,49,Attack,240,HP,1005
Aru,50,Attack,246,HP,1030
Aru (newyear),2,Attack,3,HP,0
Aru (newyear),3,Attack,6,HP,0
Aru (newyear),4,Attack,9,HP,0
Aru (newyear),5,Attack,12,HP,0
Aru (newyear),6,Attack,17,HP,0
Aru (newyear),7,Attack,22,HP,0
Aru (newyear),8,Attack,27,HP,0
Aru (newyear),9,Attack,32,HP,0
Aru (newyear),10,Attack,37,HP,0
Aru (newyear),11,Attack,43,HP,48
Aru (newyear),12,Attack,49,HP,96
Aru (newyear),13,Attack,55,HP,144
Aru (newyear),14,Attack,61,HP,192
Aru (newyear),15,Attack,67,HP,240
Aru (newyear),16,Attack,75,HP,298
Aru (newyear),17,Attack,83,HP,356
Aru (newyear),18,Attack,91,HP,414
Aru (newyear),19,Attack,99,HP,472
Aru (newyear),20,Attack,107,HP,530
Aru (newyear),21,Attack,109,HP,540
Aru (newyear),22,Attack,111,HP,550
Aru (newyear),23,Attack,113,HP,560
Aru (newyear),24,Attack,115,HP,570
Aru (newyear),25,Attack,117,HP,580
Aru (newyear),26,Attack,119,HP,590
Aru (newyear),27,Attack,121,HP,600
Aru (newyear),28,Attack,123,HP,610
Aru (newyear),29,Attack,125,HP,620
Aru (newyear),30,Attack,127,HP,630
Aru (newyear),31,Attack,130,HP,645
Aru (newyear),32,Attack,133,HP,660
Aru (newyear),33,Attack,136,HP,675
Aru (newyear),34,Attack,139,HP,690
Aru (newyear),35,Attack,142,HP,705
Aru (newyear),36,Attack,145,HP,720
Aru (newyear),37,Attack,148,HP,735
Aru (newyear),38,Attack,151,HP,750
Aru (newyear),39,Attack,154,HP,765
Aru (newyear),40,Attack,157,HP,780
Aru (newyear),41,Attack,162,HP,805
Aru (newyear),42,Attack,167,HP,830
Aru (newyear),43,Attack,172,HP,855
Aru (newyear),44,Attack,177,HP,880
Aru (newyear),45,Attack,182,HP,905
Aru (newyear),46,Attack,187,HP,930
Aru (newyear),47,Attack,192,HP,955
Aru (newyear),48,Attack,197,HP,980
Aru (newyear),49,Attack,202,HP,1005
Aru (newyear),50,Attack,207,HP,1030
Asuna,2,Attack,3,HP,0
Asuna,3,Attack,6,HP,0
Asuna,4,Attack,9,HP,0
Asuna,5,Attack,12,HP,0
Asuna,6,Attack,16,HP,0
Asuna,7,Attack,20,HP,0
Asuna,8,Attack,24,HP,0
Asuna,9,Attack,28,HP,0
Asuna,10,Attack,32,HP,0
Asuna,11,Attack,37,HP,58
Asuna,12,Attack,42,HP,116
Asuna,13,Attack,47,HP,174
Asuna,14,Attack,52,HP,232
Asuna,15,Attack,57,HP,290
Asuna,16,Attack,64,HP,359
Asuna,17,Attack,71,HP,428
Asuna,18,Attack,78,HP,497
Asuna,19,Attack,85,HP,566
Asuna,20,Attack,92,HP,635
Asuna,21,Attack,94,HP,647
Asuna,22,Attack,96,HP,659
Asuna,23,Attack,98,HP,671
Asuna,24,Attack,100,HP,683
Asuna,25,Attack,102,HP,695
Asuna,26,Attack,104,HP,707
Asuna,27,Attack,106,HP,719
Asuna,28,Attack,108,HP,731
Asuna,29,Attack,110,HP,743
Asuna,30,Attack,112,HP,755
Asuna,31,Attack,115,HP,773
Asuna,32,Attack,118,HP,791
Asuna,33,Attack,121,HP,809
Asuna,34,Attack,124,HP,827
Asuna,35,Attack,127,HP,845
Asuna,36,Attack,130,HP,863
Asuna,37,Attack,133,HP,881
Asuna,38,Attack,136,HP,899
Asuna,39,Attack,139,HP,917
Asuna,40,Attack,142,HP,935
Asuna,41,Attack,146,HP,965
Asuna,42,Attack,150,HP,995
Asuna,43,Attack,154,HP,1025
Asuna,44,Attack,158,HP,1055
Asuna,45,Attack,162,HP,1085
Asuna,46,Attack,166,HP,1115
Asuna,47,Attack,170,HP,1145
Asuna,48,Attack,174,HP,1175
Asuna,49,Attack,178,HP,1205
Asuna,50,Attack,182,HP,1235
Asuna (bunnygirl),2,Attack,2,HP,0
Asuna (bunnygirl),3,Attack,4,HP,0
Asuna (bunnygirl),4,Attack,6,HP,0
Asuna (bunnygirl),5,Attack,8,HP,0
Asuna (bunnygirl),6,Attack,11,HP,0
Asuna (bunnygirl),7,Attack,14,HP,0
Asuna (bunnygirl),8,Attack,17,HP,0
Asuna (bunnygirl),9,Attack,20,HP,0
Asuna (bunnygirl),10,Attack,23,HP,0
Asuna (bunnygirl),11,Attack,27,HP,58
Asuna (bunnygirl),12,Attack,31,HP,116
Asuna (bunnygirl),13,Attack,35,HP,174
Asuna (bunnygirl),14,Attack,39,HP,232
Asuna (bunnygirl),15,Attack,43,HP,290
Asuna (bunnygirl),16,Attack,48,HP,359
Asuna (bunnygirl),17,Attack,53,HP,428
Asuna (bunnygirl),18,Attack,58,HP,497
Asuna (bunnygirl),19,Attack,63,HP,566
Asuna (bunnygirl),20,Attack,68,HP,635
Asuna (bunnygirl),21,Attack,69,HP,646
Asuna (bunnygirl),22,Attack,70,HP,657
Asuna (bunnygirl),23,Attack,71,HP,668
Asuna (bunnygirl),24,Attack,72,HP,679
Asuna (bunnygirl),25,Attack,73,HP,690
Asuna (bunnygirl),26,Attack,74,HP,701
Asuna (bunnygirl),27,Attack,75,HP,712
Asuna (bunnygirl),28,Attack,76,HP,723
Asuna (bunnygirl),29,Attack,77,HP,734
Asuna (bunnygirl),30,Attack,78,HP,745
Asuna (bunnygirl),31,Attack,80,HP,762
Asuna (bunnygirl),32,Attack,82,HP,779
Asuna (bunnygirl),33,Attack,84,HP,796
Asuna (bunnygirl),34,Attack,86,HP,813
Asuna (bunnygirl),35,Attack,88,HP,830
Asuna (bunnygirl),36,Attack,90,HP,847
Asuna (bunnygirl),37,Attack,92,HP,864
Asuna (bunnygirl),38,Attack,94,HP,881
Asuna (bunnygirl),39,Attack,96,HP,898
Asuna (bunnygirl),40,Attack,98,HP,915
Asuna (bunnygirl),41,Attack,101,HP,943
Asuna (bunnygirl),42,Attack,104,HP,971
Asuna (bunnygirl),43,Attack,107,HP,999
Asuna (bunnygirl),44,Attack,110,HP,1027
Asuna (bunnygirl),45,Attack,113,HP,1055
Asuna (bunnygirl),46,Attack,116,HP,1083
Asuna (bunnygirl),47,Attack,119,HP,1111
Asuna (bunnygirl),48,Attack,122,HP,1139
Asuna (bunnygirl),49,Attack,125,HP,1167
Asuna (bunnygirl),50,Attack,128,HP,1195
Atsuko,2,Healing,5,HP,0
Atsuko,3,Healing,10,HP,0
Atsuko,4,Healing,15,HP,0
Atsuko,5,Healing,20,HP,0
Atsuko,6,Healing,27,HP,0
Atsuko,7,Healing,34,HP,0
Atsuko,8,Healing,41,HP,0
Atsuko,9,Healing,48,HP,0
Atsuko,10,Healing,55,HP,0
Atsuko,11,Healing,64,HP,115
Atsuko,12,Healing,73,HP,230
Atsuko,13,Healing,82,HP,345
Atsuko,14,Healing,91,HP,460
Atsuko,15,Healing,100,HP,575
Atsuko,16,Healing,111,HP,713
Atsuko,17,Healing,122,HP,851
Atsuko,18,Healing,133,HP,989
Atsuko,19,Healing,144,HP,1127
Atsuko,20,Healing,155,HP,1265
Atsuko,21,Healing,158,HP,1289
Atsuko,22,Healing,161,HP,1313
Atsuko,23,Healing,164,HP,1337
Atsuko,24,Healing,167,HP,1361
Atsuko,25,Healing,170,HP,1385
Atsuko,26,Healing,173,HP,1409
Atsuko,27,Healing,176,HP,1433
Atsuko,28,Healing,179,HP,1457
Atsuko,29,Healing,182,HP,1481
Atsuko,30,Healing,185,HP,1505
Atsuko,31,Healing,189,HP,1541
Atsuko,32,Healing,193,HP,1577
Atsuko,33,Healing,197,HP,1613
Atsuko,34,Healing,201,HP,1649
Atsuko,35,Healing,205,HP,1685
Atsuko,36,Healing,209,HP,1721
Atsuko,37,Healing,213,HP,1757
Atsuko,38,Healing,217,HP,1793
Atsuko,39,Healing,221,HP,1829
Atsuko,40,Healing,225,HP,1865
Atsuko,41,Healing,232,HP,1925
Atsuko,42,Healing,239,HP,1985
Atsuko,43,Healing,246,HP,2045
Atsuko,44,Healing,253,HP,2105
Atsuko,45,Healing,260,HP,2165
Atsuko,46,Healing,267,HP,2225
Atsuko,47,Healing,274,HP,2285
Atsuko,48,Healing,281,HP,2345
Atsuko,49,Healing,288,HP,2405
Atsuko,50,Healing,295,HP,2465
Ayane,2,Healing,7,HP,0
Ayane,3,Healing,14,HP,0
Ayane,4,Healing,21,HP,0
Ayane,5,Healing,28,HP,0
Ayane,6,Healing,39,HP,0
Ayane,7,Healing,50,HP,0
Ayane,8,Healing,61,HP,0
Ayane,9,Healing,72,HP,0
Ayane,10,Healing,83,HP,0
Ayane,11,Healing,97,HP,48
Ayane,12,Healing,111,HP,96
Ayane,13,Healing,125,HP,144
Ayane,14,Healing,139,HP,192
Ayane,15,Healing,153,HP,240
Ayane,16,Healing,171,HP,297
Ayane,17,Healing,189,HP,354
Ayane,18,Healing,207,HP,411
Ayane,19,Healing,225,HP,468
Ayane,20,Healing,243,HP,525
Ayane,21,Healing,248,HP,535
Ayane,22,Healing,253,HP,545
Ayane,23,Healing,258,HP,555
Ayane,24,Healing,263,HP,565
Ayane,25,Healing,268,HP,575
Ayane,26,Healing,273,HP,585
Ayane,27,Healing,278,HP,595
Ayane,28,Healing,283,HP,605
Ayane,29,Healing,288,HP,615
Ayane,30,Healing,293,HP,625
Ayane,31,Healing,300,HP,640
Ayane,32,Healing,307,HP,655
Ayane,33,Healing,314,HP,670
Ayane,34,Healing,321,HP,685
Ayane,35,Healing,328,HP,700
Ayane,36,Healing,335,HP,715
Ayane,37,Healing,342,HP,730
Ayane,38,Healing,349,HP,745
Ayane,39,Healing,356,HP,760
Ayane,40,Healing,363,HP,775
Ayane,41,Healing,375,HP,800
Ayane,42,Healing,387,HP,825
Ayane,43,Healing,399,HP,850
Ayane,44,Healing,411,HP,875
Ayane,45,Healing,423,HP,900
Ayane,46,Healing,435,HP,925
Ayane,47,Healing,447,HP,950
Ayane,48,Healing,459,HP,975
Ayane,49,Healing,471,HP,1000
Ayane,50,Healing,483,HP,1025
Ayane (swimsuit),2,Attack,3,HP,0
Ayane (swimsuit),3,Attack,6,HP,0
Ayane (swimsuit),4,Attack,9,HP,0
Ayane (swimsuit),5,Attack,12,HP,0
Ayane (swimsuit),6,Attack,16,HP,0
Ayane (swimsuit),7,Attack,20,HP,0
Ayane (swimsuit),8,Attack,24,HP,0
Ayane (swimsuit),9,Attack,28,HP,0
Ayane (swimsuit),10,Attack,32,HP,0
Ayane (swimsuit),11,Attack,38,HP,40
Ayane (swimsuit),12,Attack,44,HP,80
Ayane (swimsuit),13,Attack,50,HP,120
Ayane (swimsuit),14,Attack,56,HP,160
Ayane (swimsuit),15,Attack,62,HP,200
Ayane (swimsuit),16,Attack,69,HP,248
Ayane (swimsuit),17,Attack,76,HP,296
Ayane (swimsuit),18,Attack,83,HP,344
Ayane (swimsuit),19,Attack,90,HP,392
Ayane (swimsuit),20,Attack,97,HP,440
Ayane (swimsuit),21,Attack,99,HP,448
Ayane (swimsuit),22,Attack,101,HP,456
Ayane (swimsuit),23,Attack,103,HP,464
Ayane (swimsuit),24,Attack,105,HP,472
Ayane (swimsuit),25,Attack,107,HP,480
Ayane (swimsuit),26,Attack,109,HP,488
Ayane (swimsuit),27,Attack,111,HP,496
Ayane (swimsuit),28,Attack,113,HP,504
Ayane (swimsuit),29,Attack,115,HP,512
Ayane (swimsuit),30,Attack,117,HP,520
Ayane (swimsuit),31,Attack,120,HP,533
Ayane (swimsuit),32,Attack,123,HP,546
Ayane (swimsuit),33,Attack,126,HP,559
Ayane (swimsuit),34,Attack,129,HP,572
Ayane (swimsuit),35,Attack,132,HP,585
Ayane (swimsuit),36,Attack,135,HP,598
Ayane (swimsuit),37,Attack,138,HP,611
Ayane (swimsuit),38,Attack,141,HP,624
Ayane (swimsuit),39,Attack,144,HP,637
Ayane (swimsuit),40,Attack,147,HP,650
Ayane (swimsuit),41,Attack,152,HP,671
Ayane (swimsuit),42,Attack,157,HP,692
Ayane (swimsuit),43,Attack,162,HP,713
Ayane (swimsuit),44,Attack,167,HP,734
Ayane (swimsuit),45,Attack,172,HP,755
Ayane (swimsuit),46,Attack,177,HP,776
Ayane (swimsuit),47,Attack,182,HP,797
Ayane (swimsuit),48,Attack,187,HP,818
Ayane (swimsuit),49,Attack,192,HP,839
Ayane (swimsuit),50,Attack,197,HP,860
Azusa,2,Attack,2,HP,0
Azusa,3,Attack,4,HP,0
Azusa,4,Attack,6,HP,0
Azusa,5,Attack,8,HP,0
Azusa,6,Attack,11,HP,0
Azusa,7,Attack,14,HP,0
Azusa,8,Attack,17,HP,0
Azusa,9,Attack,20,HP,0
Azusa,10,Attack,23,HP,0
Azusa,11,Attack,27,HP,55
Azusa,12,Attack,31,HP,110
Azusa,13,Attack,35,HP,165
Azusa,14,Attack,39,HP,220
Azusa,15,Attack,43,HP,275
Azusa,16,Attack,48,HP,342
Azusa,17,Attack,53,HP,409
Azusa,18,Attack,58,HP,476
Azusa,19,Attack,63,HP,543
Azusa,20,Attack,68,HP,610
Azusa,21,Attack,69,HP,622
Azusa,22,Attack,70,HP,634
Azusa,23,Attack,71,HP,646
Azusa,24,Attack,72,HP,658
Azusa,25,Attack,73,HP,670
Azusa,26,Attack,74,HP,682
Azusa,27,Attack,75,HP,694
Azusa,28,Attack,76,HP,706
Azusa,29,Attack,77,HP,718
Azusa,30,Attack,78,HP,730
Azusa,31,Attack,80,HP,747
Azusa,32,Attack,82,HP,764
Azusa,33,Attack,84,HP,781
Azusa,34,Attack,86,HP,798
Azusa,35,Attack,88,HP,815
Azusa,36,Attack,90,HP,832
Azusa,37,Attack,92,HP,849
Azusa,38,Attack,94,HP,866
Azusa,39,Attack,96,HP,883
Azusa,40,Attack,98,HP,900
Azusa,41,Attack,101,HP,929
Azusa,42,Attack,104,HP,958
Azusa,43,Attack,107,HP,987
Azusa,44,Attack,110,HP,1016
Azusa,45,Attack,113,HP,1045
Azusa,46,Attack,116,HP,1074
Azusa,47,Attack,119,HP,1103
Azusa,48,Attack,122,HP,1132
Azusa,49,Attack,125,HP,1161
Azusa,50,Attack,128,HP,1190
Azusa (swimsuit),2,Attack,2,HP,0
Azusa (swimsuit),3,Attack,4,HP,0
Azusa (swimsuit),4,Attack,6,HP,0
Azusa (swimsuit),5,Attack,8,HP,0
Azusa (swimsuit),6,Attack,11,HP,0
Azusa (swimsuit),7,Attack,14,HP,0
Azusa (swimsuit),8,Attack,17,HP,0
Azusa (swimsuit),9,Attack,20,HP,0
Azusa (swimsuit),10,Attack,23,HP,0
Azusa (swimsuit),11,Attack,27,HP,50
Azusa (swimsuit),12,Attack,31,HP,100
Azusa (swimsuit),13,Attack,35,HP,150
Azusa (swimsuit),14,Attack,39,HP,200
Azusa (swimsuit),15,Attack,43,HP,250
Azusa (swimsuit),16,Attack,48,HP,309
Azusa (swimsuit),17,Attack,53,HP,368
Azusa (swimsuit),18,Attack,58,HP,427
Azusa (swimsuit),19,Attack,63,HP,486
Azusa (swimsuit),20,Attack,68,HP,545
Azusa (swimsuit),21,Attack,69,HP,555
Azusa (swimsuit),22,Attack,70,HP,565
Azusa (swimsuit),23,Attack,71,HP,575
Azusa (swimsuit),24,Attack,72,HP,585
Azusa (swimsuit),25,Attack,73,HP,595
Azusa (swimsuit),26,Attack,74,HP,605
Azusa (swimsuit),27,Attack,75,HP,615
Azusa (swimsuit),28,Attack,76,HP,625
Azusa (swimsuit),29,Attack,77,HP,635
Azusa (swimsuit),30,Attack,78,HP,645
Azusa (swimsuit),31,Attack,80,HP,661
Azusa (swimsuit),32,Attack,82,HP,677
Azusa (swimsuit),33,Attack,84,HP,693
Azusa (swimsuit),34,Attack,86,HP,709
Azusa (swimsuit),35,Attack,88,HP,725
Azusa (swimsuit),36,Attack,90,HP,741
Azusa (swimsuit),37,Attack,92,HP,757
Azusa (swimsuit),38,Attack,94,HP,773
Azusa (swimsuit),39,Attack,96,HP,789
Azusa (swimsuit),40,Attack,98,HP,805
Azusa (swimsuit),41,Attack,101,HP,831
Azusa (swimsuit),42,Attack,104,HP,857
Azusa (swimsuit),43,Attack,107,HP,883
Azusa (swimsuit),44,Attack,110,HP,909
Azusa (swimsuit),45,Attack,113,HP,935
Azusa (swimsuit),46,Attack,116,HP,961
Azusa (swimsuit),47,Attack,119,HP,987
Azusa (swimsuit),48,Attack,122,HP,1013
Azusa (swimsuit),49,Attack,125,HP,1039
Azusa (swimsuit),50,Attack,128,HP,1065
Cherino,2,Attack,2,HP,0
Cherino,3,Attack,4,HP,0
Cherino,4,Attack,6,HP,0
Cherino,5,Attack,8,HP,0
Cherino,6,Attack,11,HP,0
Cherino,7,Attack,14,HP,0
Cherino,8,Attack,17,HP,0
Cherino,9,Attack,20,HP,0
Cherino,10,Attack,23,HP,0
Cherino,11,Attack,27,HP,64
Cherino,12,Attack,31,HP,128
Cherino,13,Attack,35,HP,192
Cherino,14,Attack,39,HP,256
Cherino,15,Attack,43,HP,320
Cherino,16,Attack,48,HP,397
Cherino,17,Attack,53,HP,474
Cherino,18,Attack,58,HP,551
Cherino,19,Attack,63,HP,628
Cherino,20,Attack,68,HP,705
Cherino,21,Attack,69,HP,718
Cherino,22,Attack,70,HP,731
Cherino,23,Attack,71,HP,744
Cherino,24,Attack,72,HP,757
Cherino,25,Attack,73,HP,770
Cherino,26,Attack,74,HP,783
Cherino,27,Attack,75,HP,796
Cherino,28,Attack,76,HP,809
Cherino,29,Attack,77,HP,822
Cherino,30,Attack,78,HP,835
Cherino,31,Attack,80,HP,855
Cherino,32,Attack,82,HP,875
Cherino,33,Attack,84,HP,895
Cherino,34,Attack,86,HP,915
Cherino,35,Attack,88,HP,935
Cherino,36,Attack,90,HP,955
Cherino,37,Attack,92,HP,975
Cherino,38,Attack,94,HP,995
